cluster,SYMPTOMS_SCORE,STRUCTURE_SCORE,SURGERY_SCORE,N_PATIENTS,KL_LEFT_GRADE_0_COUNT,KL_LEFT_GRADE_0_PCT,KL_RIGHT_GRADE_0_COUNT,KL_RIGHT_GRADE_0_PCT,KL_LEFT_GRADE_1_COUNT,KL_LEFT_GRADE_1_PCT,KL_RIGHT_GRADE_1_COUNT,KL_RIGHT_GRADE_1_PCT,KL_LEFT_GRADE_2_COUNT,KL_LEFT_GRADE_2_PCT,KL_RIGHT_GRADE_2_COUNT,KL_RIGHT_GRADE_2_PCT,KL_LEFT_GRADE_3_COUNT,KL_LEFT_GRADE_3_PCT,KL_RIGHT_GRADE_3_COUNT,KL_RIGHT_GRADE_3_PCT,KL_LEFT_GRADE_4_COUNT,KL_LEFT_GRADE_4_PCT,KL_RIGHT_GRADE_4_COUNT,KL_RIGHT_GRADE_4_PCT
0,38.108434452467804,0,0,1919,353,0.1839499739447629,341,0.17769671704012507,658,0.34288692027097445,642,0.334549244398124,392,0.20427305888483585,393,0.20479416362688901,396,0.20635747785304848,424,0.22094841063053675,120,0.06253256904637833,119,0.06201146430432517
1,37.26944099378881,0,0,1265,285,0.22529644268774704,277,0.2189723320158103,493,0.3897233201581028,500,0.3952569169960474,196,0.1549407114624506,206,0.16284584980237155,225,0.17786561264822134,223,0.17628458498023716,66,0.05217391304347826,59,0.0466403162055336
2,39.60688095238096,0,0,1200,174,0.145,149,0.12416666666666666,382,0.31833333333333336,383,0.31916666666666665,275,0.22916666666666666,288,0.24,304,0.25333333333333335,292,0.24333333333333335,65,0.05416666666666667,88,0.07333333333333333
3,36.4032292032292,0,0,407,107,0.2628992628992629,116,0.28501228501228504,187,0.4594594594594595,172,0.4226044226044226,41,0.10073710073710074,45,0.11056511056511056,53,0.13022113022113022,55,0.13513513513513514,19,0.04668304668304668,19,0.04668304668304668
