KL_GRADE, NUM_PATIENTS, SURGERY_YES_%      , SURGERY_NO_%     , V00WOMTSL         , V00KOOSKPL        , V00KOOSYML       , V00KOOSQOL       , V00XRJSL_L         , V00XRJSM_L
       0,         1776,  1.7454954954954953, 98.2545045045045 ,  7.576914414414413, 90.12353603603603 , 91.6795045045045 , 73.53395270270269, 0.0                , 0.0
       1,          803,  5.85305105853051  , 94.14694894146949,  9.233001245330012, 88.79813200498131 , 90.14694894146949, 70.2970112079701 , 0.049813200498132  , 0.38978829389788294
       2,         1149, 10.182767624020887 , 89.81723237597912, 14.463272410791996, 82.64107919930375 , 84.12689295039165, 62.87293298520453, 0.13141862489120976, 0.5100087032201914
       3,          634, 25.236593059936908 , 74.76340694006309, 17.089905362776026, 78.29416403785488 , 80.37397476340693, 59.49652996845426, 0.37066246056782337, 1.6798107255520505
       4,          144, 53.47222222222222  , 46.52777777777778, 27.73263888888889 , 63.326388888888886, 66.29166666666667, 48.95416666666667, 0.8819444444444444 , 2.2083333333333335
