cluster ,N_PATIENTS ,SURGERY_PCT_YES ,SURGERY_PCT_NO ,KL_LEFT_0_PCT      ,KL_LEFT_1_PCT       ,KL_LEFT_2_PCT        ,KL_LEFT_3_PCT        ,KL_LEFT_4_PCT         ,KL_0_WOMAC_AVG    ,KL_1_WOMAC_AVG     ,KL_2_WOMAC_AVG     ,KL_3_WOMAC_AVG     ,KL_4_WOMAC_AVG     ,V00WOMTSL_MEAN     ,V00KOOSKPL_MEAN   ,V00KOOSYML_MEAN   ,V00KOOSQOL_MEAN    ,V00XRJSM_L_MEAN     ,V00XRJSL_L_MEAN      ,V00XRSCFM_L_MEAN   ,V00XRSCFL_L_MEAN     ,V00XRSCTM_L_MEAN    ,V00XRSCTL_L_MEAN     ,V00XROSFM_L_MEAN   ,V00XROSFL_L_MEAN   ,V00XROSTM_L_MEAN    ,V00XROSTL_L_MEAN
      0 ,       818 ,            0.0 ,         100.0 ,0.0                ,0.3569682151589242  ,0.6344743276283619   ,0.007334963325183374 ,0.0012224938875305623 ,                  , 9.413013698630136 ,13.911753371868981 , 4.0               , 0.0               ,12.216136919315403 ,85.4864303178484  ,87.41075794621027 ,66.58679706601467  ,1.0                 ,0.037897310513447434 ,0.4                ,0.01884057971014493  ,0.44782608695652176 ,0.020289855072463767 ,0.6340057636887608 ,0.4034582132564842 ,0.8097982708933718  ,0.33285302593659943
      1 ,      2750 ,            0.0 ,         100.0 ,0.6276363636363637 ,0.16545454545454547 ,0.17563636363636365  ,0.024363636363636365 ,0.006909090909090909  ,7.498435689455388 , 8.500659340659341 ,14.836853002070395 ,15.73880597014925  ,20.389473684210525 , 9.242981818181818 ,88.33814545454545 ,89.70272727272727 ,70.93003636363636  ,0.0                 ,0.12072727272727272  ,0.0401673640167364 ,0.14225941422594143  ,0.05104602510460251 ,0.12468619246861924  ,0.3983402489626556 ,0.4705394190871369 ,0.45228215767634855 ,0.4215767634854772
      2 ,       430 ,            0.0 ,         100.0 ,0.0                ,0.0                 ,0.002325581395348837 ,0.8906976744186047   ,0.10697674418604651   ,                  ,                   , 0.0               ,15.166057441253265 ,30.873913043478268 ,16.811162790697676 ,78.21790697674417 ,81.25744186046511 ,60.61790697674418  ,2.104651162790698   ,0.07441860465116279  ,1.5011655011655012 ,0.037296037296037296 ,1.5827505827505828  ,0.039627039627039624 ,1.6418604651162791 ,0.8162790697674419 ,1.5069767441860464  ,0.6325581395348837
      3 ,       189 ,          100.0 ,           0.0 ,0.0                ,0.0                 ,0.0                  ,0.6931216931216931   ,0.30687830687830686   ,                  ,                   ,                   ,22.662595419847328 ,30.148275862068964 ,24.95978835978836  ,68.66825396825396 ,72.16613756613756 ,51.645502645502646 ,2.306878306878307   ,0.037037037037037035 ,1.8835978835978835 ,0.010582010582010581 ,1.8624338624338623  ,0.010582010582010581 ,2.0476190476190474 ,1.0793650793650793 ,1.7407407407407407  ,0.8148148148148148
      4 ,       235 ,          100.0 ,           0.0 ,0.1276595744680851 ,0.19574468085106383 ,0.49361702127659574  ,0.11063829787234042  ,0.07234042553191489   ,7.83              ,12.621739130434783 ,16.14396551724138  ,19.715384615384615 ,21.441176470588236 ,15.171489361702129 ,80.92638297872342 ,81.28765957446808 ,59.46723404255319  ,0.28085106382978725 ,0.5446808510638298   ,0.2548076923076923 ,0.41346153846153844  ,0.24519230769230768 ,0.40384615384615385  ,0.8755980861244019 ,1.0334928229665072 ,0.5885167464114832  ,0.8708133971291866
